folder,f1_score,mse,deckPercent
-IKfMPtPXL4,0.8571428571428571,0.3123425692695214,0.9704030226700252
-75E9JBc4ho,0.9242424242424243,0.22899505766062603,0.9942339373970346
-INo_UpYcLI,0.9037037037037037,0.2915980230642504,0.964168039538715
-S93q2nWMWI,0.9369369369369368,0.180623973727422,0.9786535303776683
-PlGj1L2lu0,0.9523809523809523,0.11270983213429256,0.9742206235011991
-RycfDYji88,0.8928571428571429,0.21022727272727273,0.9985795454545454
-OMmXwwQhlM,0.8478260869565218,0.38493723849372385,0.9639121338912134
-QHf3EvqMD8,0.9491525423728813,0.3412969283276451,0.9918941979522184
-7h4uCWSSrY,0.8817204301075269,0.2797494780793319,0.9994780793319415
-KECD8BILjk,0.8536585365853658,0.2171837708830549,0.9832935560859188
