Skeleton Army,378
Fireball,365
Inferno Dragon,353
Mega Knight,337
Hunter,322
Bats,258
Cannon Cart,173
Zap,139
Golden Knight,82
Royal Giant,10
Witch,2
Giant Skeleton,2
Princess,1
Minion Horde,1
Ram Rider,1
Royal Ghost,1
Goblin Gang,1
Skeleton Dragons,1
Skeletons,1
Bandit,1
Arrows,1
