Rocket,756
X,535
Tesla,477
Ice Spirit,463
The Log,427
Knight,394
Musketeer,321
Freeze,307
Skeletons,250
Guards,224
Barbarian Barrel,220
Mega Minion,200
Furnace,148
Lumberjack,147
Balloon,122
Baby Dragon,100
Witch,96
Executioner,19
Goblin Drill,6
Mini P.E.K.K.A,4
Bandit,4
P.E.K.K.A,3
Electro Spirit,3
Giant Snowball,3
Electro Dragon,2
Zap,2
Mega Knight,2
Miner,2
Skeleton Barrel,2
Lava Hound,2
Golden Knight,1
Hunter,1
Flying Machine,1
Mirror,1
Elite Barbarians,1
Mortar,1
Night Witch,1
Bomb Tower,1
Barbarians,1
Skeleton Dragons,1
Valkyrie,1
