Fireball,721
Tesla,428
Skeletons,407
Goblin Barrel,384
Giant Skeleton,376
Zap,367
The Log,348
Hunter,299
Bats,255
Balloon,253
Tombstone,203
Lava Hound,202
X,201
Sparky,183
Barbarians,145
Knight,134
Mega Minion,128
Archers,123
Goblin Drill,114
Skeleton Barrel,113
Mirror,113
Ice Spirit,68
Witch,11
Electro Dragon,7
Mega Knight,5
P.E.K.K.A,5
Elite Barbarians,4
Guards,3
Mini P.E.K.K.A,3
Furnace,2
Tornado,2
Wizard,1
Earthquake,1
Bomber,1
Royal Recruits,1
Elixir Golem,1
Executioner,1
Mighty Miner,1
Miner,1
Skeleton Dragons,1
