Zap,698
Poison,611
Royal Ghost,545
Rocket,518
Magic Archer,498
Electro Wizard,416
Tornado,407
P.E.K.K.A,352
Battle Ram,347
Ice Wizard,317
Bandit,303
X,280
The Log,259
Tesla,256
Skeletons,232
Knight,163
Witch,100
Mirror,59
Executioner,35
Night Witch,11
Mega Minion,9
Balloon,7
Goblin Drill,7
Elite Barbarians,6
Guards,4
Barbarian Hut,3
Skeleton Dragons,2
Rascals,2
Cannon,2
Earthquake,2
Skeleton Barrel,2
Miner,1
Wizard,1
Fisherman,1
Skeleton Army,1
Mega Knight,1
Goblin Gang,1
Mortar,1
Lava Hound,1
Lumberjack,1
Minion Horde,1
Archer Queen,1
