Tornado,590
Rocket,544
The Log,404
Fireball,331
Knight,305
Electro Wizard,278
Ram Rider,250
Skeletons,205
Mortar,190
Magic Archer,185
Tesla,163
Bandit,137
Prince,117
X,116
Archers,114
Ice Spirit,105
Witch,100
Ice Wizard,100
Barbarian Barrel,89
Heal Spirit,80
Balloon,30
Executioner,22
Goblin Drill,6
Giant Snowball,5
Mirror,5
Electro Dragon,5
P.E.K.K.A,4
Guards,3
Elite Barbarians,2
Night Witch,2
Skeleton Barrel,2
Battle Ram,1
Bats,1
Wizard,1
Arrows,1
Earthquake,1
Valkyrie,1
Electro Giant,1
Electro Spirit,1
Furnace,1
Hog Rider,1
Hunter,1
Tombstone,1
Mighty Miner,1
Mini P.E.K.K.A,1
Zap,1
