Skeletons,750
Rocket,680
The Log,560
Hunter,487
X,422
Ice Wizard,408
Tornado,387
Tesla,382
Fireball,306
Knight,287
Skeleton Dragons,275
Fisherman,236
Heal Spirit,211
Golden Knight,144
Witch,106
Cannon Cart,83
Balloon,36
Executioner,17
Goblin Drill,13
Mega Knight,9
Elite Barbarians,8
Electro Spirit,5
Skeleton Barrel,2
P.E.K.K.A,2
Giant Snowball,2
Barbarians,2
Ram Rider,2
Barbarian Hut,1
Mini P.E.K.K.A,1
Electro Dragon,1
Guards,1
Mirror,1
Valkyrie,1
Furnace,1
Lava Hound,1
Goblin Giant,1
Giant Skeleton,1
