Fireball,1310
The Log,855
Ice Golem,761
X,739
Tesla,580
Tornado,525
Skeletons,461
Archers,394
Skeleton Army,348
Ice Spirit,315
Giant Skeleton,277
Wizard,261
Knight,226
Hog Rider,177
Witch,83
Balloon,36
Mirror,35
Electro Spirit,28
Goblin Drill,23
Executioner,22
Lava Hound,18
P.E.K.K.A,7
Elite Barbarians,5
Bandit,3
Giant Snowball,3
Barbarians,2
Furnace,2
Rocket,2
Barbarian Hut,1
Cannon,1
Barbarian Barrel,1
Earthquake,1
Electro Dragon,1
Arrows,1
Three Musketeers,1
Flying Machine,1
Golem,1
Guards,1
Zap,1
Lumberjack,1
Magic Archer,1
Mini P.E.K.K.A,1
Minion Horde,1
Royal Ghost,1
Skeleton Barrel,1
Zappies,1
