Fireball,346
Three Musketeers,311
Ram Rider,298
Barbarian Barrel,251
Hunter,242
Ice Golem,230
Archers,228
Bandit,226
The Log,188
X,173
Zap,154
Miner,152
Elixir Collector,151
Ice Spirit,147
Bats,137
Mega Knight,112
Musketeer,96
Tesla,93
Royal Ghost,93
Wall Breakers,82
Skeletons,70
Witch,69
Mirror,43
Executioner,34
Lava Hound,12
Barbarian Hut,4
Elite Barbarians,4
Electro Dragon,3
Skeleton Barrel,3
Guards,3
Mighty Miner,2
Balloon,2
Bomber,2
Rascals,2
P.E.K.K.A,2
Electro Spirit,1
Cannon Cart,1
Firecracker,1
Furnace,1
Goblin Drill,1
Wizard,1
Hog Rider,1
Baby Dragon,1
Goblins,1
