Fireball,494
Mega Minion,452
Barbarians,436
Tombstone,355
Balloon,346
Lava Hound,327
Tesla,257
Zap,248
The Log,217
Rocket,215
X,212
Tornado,191
Knight,163
Goblin Drill,154
Ice Wizard,76
Skeletons,75
Bats,61
Giant Snowball,24
Mini P.E.K.K.A,23
Royal Delivery,18
Wizard,17
Fire Spirit,10
Goblin Hut,9
Wall Breakers,9
Minion Horde,8
Mighty Miner,7
Elite Barbarians,6
Skeleton Barrel,6
Fisherman,5
Guards,4
Ram Rider,4
Battle Ram,3
Earthquake,2
Heal Spirit,2
Goblin Gang,2
Three Musketeers,2
Bandit,1
Firecracker,1
Zappies,1
Furnace,1
Golem,1
Graveyard,1
Hog Rider,1
Inferno Dragon,1
Lumberjack,1
Mirror,1
P.E.K.K.A,1
Spear Goblins,1
Witch,1
Arrows,1
