Freeze,760
Ice Wizard,639
Minion Horde,558
Rocket,498
X,359
Princess,357
Barbarians,341
Hog Rider,339
Goblins,293
Miner,273
Tornado,256
Tesla,251
The Log,215
Knight,150
Skeletons,113
Giant Snowball,50
Balloon,34
Fireball,27
Wizard,14
Skeleton Barrel,13
Goblin Hut,11
Wall Breakers,9
Royal Delivery,8
Elite Barbarians,5
Firecracker,5
Executioner,5
Mighty Miner,4
Witch,4
Mini P.E.K.K.A,3
Lava Hound,3
Fire Spirit,3
Fisherman,2
Giant Skeleton,2
Bomber,2
Dark Prince,2
Guards,2
P.E.K.K.A,2
Cannon,1
Bandit,1
Musketeer,1
Goblin Drill,1
Three Musketeers,1
Mortar,1
Spear Goblins,1
Heal Spirit,1
Skeleton Dragons,1
Royal Recruits,1
Mirror,1
Mega Minion,1
