Fireball,938
Ice Golem,799
Skeletons,762
The Log,529
Tesla,462
Archers,402
Three Musketeers,368
Ice Spirit,364
Hunter,347
X,322
Barbarian Barrel,249
Heal Spirit,130
Royal Hogs,109
Witch,90
Mirror,47
Executioner,38
Lava Hound,16
Mega Knight,11
Rocket,6
Elite Barbarians,6
Guards,5
Balloon,3
Inferno Tower,2
Skeleton Barrel,2
Graveyard,2
Goblin Drill,2
Cannon Cart,2
Mini P.E.K.K.A,2
Electro Spirit,1
Bandit,1
Minion Horde,1
Barbarians,1
Fisherman,1
Miner,1
Lumberjack,1
P.E.K.K.A,1
Mighty Miner,1
Wizard,1
Rascals,1
