folder,f1_score,mse
tS-sEYqbwdY,0.6218487394957983,2.2645290581162323
DaNPvMYA8CQ,0.46280991735537197,3.5286458333333335
pw_yrMk9y7g,0.8048780487804879,1.565217391304348
