Rocket,763
Tornado,524
Knight,495
The Log,434
Wizard,342
X,323
Skeleton Army,298
Skeletons,261
Fireball,246
Ice Wizard,199
Tesla,198
Princess,189
Goblin Barrel,184
Inferno Tower,147
Mirror,137
Giant Skeleton,130
Goblin Gang,130
Ice Spirit,125
Hog Rider,98
Balloon,27
Goblin Drill,9
Elite Barbarians,6
Lava Hound,5
Electro Dragon,5
Guards,4
Witch,4
Mini P.E.K.K.A,3
Minion Horde,3
Executioner,3
Dark Prince,2
Mega Knight,2
Skeleton Barrel,2
Barbarian Hut,1
Giant Snowball,1
Prince,1
Golden Knight,1
Miner,1
Zap,1
