folder,f1_score,mse,deckPercent
-IKfMPtPXL4,0.7246376811594202,1.1385390428211586,0.8954659949622166
-75E9JBc4ho,0.8615384615384615,0.3673805601317957,0.9200988467874794
-INo_UpYcLI,0.8382352941176471,1.1367380560131797,0.9048599670510709
-S93q2nWMWI,0.9541284403669724,0.1477832512315271,0.972495894909688
-PlGj1L2lu0,0.9375,0.1510791366906475,0.9862110311750599
-RycfDYji88,0.8076923076923077,0.6221590909090909,0.9410511363636364
-OMmXwwQhlM,0.6813186813186813,1.403765690376569,0.897489539748954
-QHf3EvqMD8,0.782608695652174,1.0870307167235496,0.8754266211604096
-7h4uCWSSrY,0.7272727272727272,0.7766179540709812,0.9368475991649269
-KECD8BILjk,0.8461538461538461,0.22673031026252982,0.9427207637231504
