Fireball,722
Tesla,525
The Log,456
Ice Golem,383
Skeleton Army,313
Skeletons,301
X,279
Giant Skeleton,235
Archers,230
Earthquake,225
Dart Goblin,222
Ice Spirit,218
Skeleton Barrel,203
Cannon Cart,169
Goblin Hut,156
Bats,107
Goblins,62
Goblin Gang,36
Barbarian Hut,31
Balloon,25
Tombstone,20
Baby Dragon,18
Goblin Giant,12
Executioner,11
Bomber,7
Cannon,6
Guards,5
Goblin Cage,5
Mirror,4
Lava Hound,4
Furnace,3
Elite Barbarians,3
Goblin Drill,2
Zap,2
Goblin Barrel,2
Mighty Miner,1
Hog Rider,1
Battle Ram,1
Night Witch,1
Rocket,1
Barbarian Barrel,1
Bandit,1
Royal Ghost,1
Sparky,1
Mortar,1
