Fireball,879
X,720
The Log,711
Tesla,668
Knight,635
Skeletons,523
Three Musketeers,434
Archers,411
Hunter,354
Ice Spirit,327
Royal Ghost,262
Fisherman,245
Barbarian Barrel,194
Ice Golem,121
Royal Hogs,114
Witch,90
Heal Spirit,69
Mirror,44
Executioner,21
Lava Hound,15
Rocket,9
Mega Knight,8
Goblin Drill,8
Balloon,6
Elite Barbarians,5
Magic Archer,4
Skeleton Dragons,2
Barbarians,2
Mighty Miner,2
P.E.K.K.A,2
Electro Wizard,1
Bats,1
Electro Spirit,1
Bandit,1
Dark Prince,1
Elixir Collector,1
Earthquake,1
Skeleton Barrel,1
Golden Knight,1
Guards,1
Hog Rider,1
Royal Recruits,1
Inferno Tower,1
Mini P.E.K.K.A,1
Minion Horde,1
Mother Witch,1
Night Witch,1
Rascals,1
Zap,1
