Fireball,839
Tesla,529
Knight,445
Archers,324
Minion Horde,262
The Log,259
X,214
Graveyard,208
Ice Spirit,194
Hunter,190
Mortar,184
Balloon,181
Cannon Cart,181
Barbarians,171
Skeletons,170
Spear Goblins,163
Arrows,154
Zap,138
Lava Hound,133
Goblin Drill,131
Miner,120
Barbarian Barrel,120
Mirror,116
Witch,86
Bats,76
Executioner,26
Mega Knight,7
Elite Barbarians,3
Bandit,2
Goblin Gang,2
P.E.K.K.A,2
Mega Minion,2
Skeleton Dragons,2
Electro Spirit,1
Electro Dragon,1
Earthquake,1
Dark Prince,1
Golden Knight,1
Tombstone,1
Sparky,1
Mighty Miner,1
Mini P.E.K.K.A,1
Royal Recruits,1
