Rocket,599
The Log,361
Sparky,318
Inferno Tower,304
Giant,272
Bats,247
Knight,246
Goblin Gang,210
X,210
Princess,204
Zap,201
Electro Wizard,183
Skeletons,180
Skeleton Army,175
Arrows,161
Tesla,148
Dark Prince,140
Tornado,134
Ice Spirit,130
Ice Wizard,129
Witch,129
Mirror,91
Giant Snowball,85
Goblin Barrel,72
Executioner,50
Balloon,5
Goblin Drill,5
Elite Barbarians,4
Guards,3
Barbarian Barrel,3
P.E.K.K.A,3
Barbarians,1
Bomb Tower,1
Mega Knight,1
Electro Dragon,1
Fisherman,1
Mighty Miner,1
Giant Skeleton,1
Golden Knight,1
Night Witch,1
Hog Rider,1
