Tornado,621
Electro Dragon,351
Golem,293
Elixir Collector,287
Minion Horde,276
Rocket,266
Hunter,250
Balloon,245
Skeleton Dragons,238
The Log,209
Skeleton Army,209
Fireball,208
Baby Dragon,196
Goblin Gang,195
Lava Hound,193
Dark Prince,173
Magic Archer,170
Tesla,164
Witch,150
Valkyrie,148
Skeletons,146
Lumberjack,139
X,117
Fire Spirit,65
Royal Delivery,34
Giant Snowball,28
Goblin Drill,23
Night Witch,19
Wizard,15
Goblin Hut,13
Heal Spirit,11
Mega Knight,8
Giant,8
Fisherman,6
Skeleton Barrel,6
Mighty Miner,5
Graveyard,5
Elite Barbarians,4
Bandit,4
Mini P.E.K.K.A,4
Guards,3
Earthquake,2
Executioner,2
Cannon Cart,2
Rascals,2
Firecracker,2
Prince,2
Mirror,2
P.E.K.K.A,2
Sparky,1
Tombstone,1
Inferno Tower,1
Mega Minion,1
Miner,1
Barbarians,1
Barbarian Hut,1
Mortar,1
Golden Knight,1
