Fireball,595
Cannon Cart,360
Hunter,343
The Log,340
Electro Wizard,301
Baby Dragon,289
Fisherman,283
Skeleton Dragons,271
Heal Spirit,264
Skeletons,232
Goblin Cage,232
Lumberjack,228
X,192
Tesla,159
Barbarian Barrel,145
Ice Spirit,131
Golden Knight,119
Archers,100
Knight,90
Witch,74
Mirror,61
Executioner,46
Barbarian Hut,16
Rocket,10
Goblin Drill,6
Mega Knight,3
Balloon,2
Elite Barbarians,2
Zap,2
P.E.K.K.A,2
Guards,2
Prince,1
Goblin Barrel,1
Rascals,1
Barbarians,1
Goblin Gang,1
Tornado,1
Mighty Miner,1
Ram Rider,1
