frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00345,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,7,False,False,,,
00360,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00375,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00390,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00405,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00420,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00435,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,8,False,False,,,
00450,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,9,False,False,,,
00465,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,9,False,False,,,
00480,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,9,False,False,,,
00495,Bats,9.0,Rascals,83.0,Miner,66.0,Goblin Gang,42.0,,,,9,False,False,,,
00510,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,Miner,66.0,3.0,6,True,True,,Miner,3.0
00525,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00540,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00555,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00570,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00585,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00600,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00615,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00630,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00645,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00660,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00675,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00690,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00705,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00720,Bats,9.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00735,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,Bats,9.0,1.0,7,True,True,,Bats,2.0
00750,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00765,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,7,False,False,,,
00780,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00795,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00810,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00825,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00840,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00855,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,8,False,False,,,
00870,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00885,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00900,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00915,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00930,Prince,79.0,Rascals,83.0,Mortar,71.0,Goblin Gang,42.0,,,,9,False,False,,,
00945,Prince,79.0,Fireball,30.0,Mortar,71.0,Goblin Gang,42.0,Rascals,83.0,2.0,5,True,True,,Rascals,5.0
00960,Prince,79.0,Fireball,30.0,Mortar,71.0,Goblin Gang,42.0,,,,5,False,False,,,
