folder,f1_score,mse,deckPercent
3yFudPAKC-E,0.921875,0.046052631578947366,0.9925986842105263
qnZSb0rjStg,0.8181818181818181,0.3696369636963696,0.9603960396039604
tju3Gnij66o,0.7342657342657342,0.25434530706836617,0.7214658169177288
eEcY7Y6SOxM,0.8387096774193549,0.21406727828746178,0.8966309341500766
VY3LPk3-yI0,0.9787234042553191,0.06655290102389079,0.9931740614334471
1knEsVIigOM,0.9219858156028369,0.32401315789473684,0.9851973684210527
Ej4A2V50c-g,0.9662921348314608,0.044534412955465584,0.9959514170040485
-pmXxH0f3Nc,0.8979591836734693,0.05065666041275797,0.9174484052532833
zQcncEhFEoY,0.7692307692307693,0.3670886075949367,0.9514767932489452
Of8hGPF5HNk,0.9818181818181818,0.025510204081632654,0.9974489795918368
bjpNfAoZvBo,0.8915662650602411,0.1762295081967213,0.9969262295081968
F8MlvUKABXU,0.5,1.0326086956521738,0.9618528610354223
YTJk4jAIFg4,0.8799999999999999,0.16901408450704225,0.9936619718309859
wJXvfWpGA8c,0.9387755102040816,0.08415841584158416,0.9966996699669967
dIThEj--dLM,0.576923076923077,0.4665718349928876,0.6847439544807966
WNcN7Frxk6k,0.8764044943820224,0.3046594982078853,0.989237668161435
oUtx531J3R8,0.9572649572649573,0.19110378912685339,0.9958813838550247
KtenKUTeAG8,0.8740740740740739,0.2019704433497537,0.9979474548440066
kmqN4rzhKDY,0.888888888888889,0.33747412008281574,0.8938923395445134
MnGCugOQ1CM,0.9268292682926831,0.10694183864915573,0.9976547842401501
0_4spy43wcE,0.7916666666666666,0.725531914893617,0.9861554845580405
8CDksgXb4_c,0.9253731343283582,0.21201413427561838,0.9960247349823321
7OBy_s2gFv8,0.96,0.09752066115702479,0.9971074380165289
JHSEjm8h2BQ,0.88659793814433,0.2902033271719039,0.9976894639556377
IDFFhDYxuNk,0.5862068965517241,0.5610412926391383,0.6544678940278401
dar7UfXWjM8,0.9818181818181818,0.01912568306010929,0.9931693989071039
8ze3zNshmXg,0.9714285714285714,0.028688524590163935,0.9001024590163934
Qgjb9XCsauA,0.9370629370629371,0.09390444810543658,0.9942339373970346
rawvpYYTpDo,0.9402985074626866,0.06896551724137931,0.9942528735632183
Xng1jOkyZO0,0.7485380116959065,0.33278955954323003,0.6863784665579119
eZGMwtEoGiY,0.8524590163934426,0.2766884531590414,0.9067611777535441
H0yjP645bAQ,0.90625,0.455012853470437,0.9987146529562982
AhQYVXOlPhk,0.9024390243902439,0.49892008639308855,0.990280777537797
fYQ4XOUv9pk,0.9583333333333334,0.1168091168091168,0.9978632478632479
c1iKh12z49E,0.6040268456375839,0.5921158487530169,0.6991150442477876
FK88New0kms,0.8627450980392156,0.45129224652087474,0.9975149105367793
AMvGjxTMKFo,0.9600000000000001,0.02564102564102564,0.9964387464387464
BCdkJkwmA9A,0.8037383177570093,0.5935919055649241,0.9055649241146712
8NP53cusy0s,0.909090909090909,0.14988814317673377,0.9966442953020134
WPGXws7xsao,0.9152542372881356,0.14835164835164835,0.9986263736263736
FqklxHjTLKA,0.9487179487179489,0.05592841163310962,0.9988814317673378
EiP6nDTmmOg,0.9523809523809523,0.027093596059113302,0.9981527093596059
7XIwSqnBnEk,0.9275362318840579,0.0792838874680307,0.9443734015345269
RVTxBIlA0mY,1.0,0.012779552715654952,1.0
pMdxwcPaukE,0.9473684210526316,0.12706270627062707,0.9983498349834984
Rk7qX-dXKKA,0.9147286821705427,0.30870279146141216,0.9774220032840722
RpnfseT99-M,0.923076923076923,0.12440944881889764,0.9244094488188976
HTy_tY6tRDw,0.9896907216494846,0.07452339688041594,0.9220103986135182
ku8Q05Byoso,1.0,0.03459637561779242,0.9946457990115322
mkRamLOad5E,0.9635036496350364,0.03289473684210526,0.9958881578947368
h9YcJBLcTuQ,0.9,0.03418803418803419,0.9978632478632479
k3wPZ5k_rZE,0.9846153846153847,0.02834008097165992,0.9989878542510121
z-Q95JJ9MeQ,0.9374999999999999,0.13105413105413105,0.9935897435897436
1wHPUDWg3ew,0.9333333333333333,0.052995391705069124,0.9988479262672811
RsE0d9A8VEs,0.9278350515463918,0.08211678832116788,0.9958941605839416
qNzr22TI_LQ,0.9500000000000001,0.031496062992125984,0.9822834645669292
7DdoBHlCT0s,0.6049822064056939,0.6282121377802078,0.6485784581738655
j61UId-zYkU,0.975609756097561,0.10199004975124377,0.9950248756218906
y0gYYcDaQE0,0.9130434782608696,0.5544871794871795,1.0
81mUnFkCvZ4,0.888888888888889,0.34761120263591433,0.9575782537067545
ZTjBuepxc38,0.9,0.08196721311475409,0.9991803278688525
CO9ZS6scahY,0.9635036496350364,0.15483870967741936,0.9608870967741936
tb9ahX2g3Fg,0.9117647058823528,0.14617169373549885,0.9907192575406032
OLX7qOQ2B0w,0.9391304347826087,0.06386554621848739,0.9970588235294118
Nd-f5eX7UJg,0.9312977099236641,0.12807881773399016,0.9975369458128078
wRfaPbO8icM,0.9010989010989011,0.10944206008583691,0.9973175965665236
xRJq2YdaA1E,0.8923076923076922,0.2537313432835821,0.9987562189054726
RqkgcG1R1Fw,0.9047619047619048,0.41237113402061853,0.9463058419243986
n4elLaedGlc,0.8095238095238095,0.29,0.959375
SnICWI2ZPg8,0.7333333333333334,0.63125,0.9703125
1olN8l8-Jb0,0.9500000000000001,0.14861995753715498,0.9984076433121019
gFIecKmGz1E,0.9016393442622951,0.15599343185550082,0.9909688013136289
ZVROq8uAZRY,0.8387096774193548,0.4066115702479339,0.944995864350703
N9OtBJMcgnA,0.9538461538461539,0.06987951807228916,0.9933734939759036
4BRSyI3VN6Q,0.9133858267716536,0.3723228995057661,0.9880560131795717
sg0h1CjBxXI,0.8493150684931507,0.22274881516587677,0.9988151658767772
FILQo27ic8o,1.0,0.03977272727272727,0.9992897727272727
9ZzLydTQsxc,0.9268292682926829,0.1569767441860465,0.9723837209302325
aMWy2miH2Qg,0.7999999999999999,0.27631578947368424,0.995049504950495
pItlxyjB6ag,0.912280701754386,0.0862533692722372,0.9959568733153639
Izh0iOxdaD4,0.9047619047619048,0.04424778761061947,0.9922566371681416
8eomNyH5dfo,0.9387755102040817,0.11619718309859155,0.996919014084507
m-PFUXqUb14,1.0,0.03471074380165289,0.9871900826446282
MnuBdUIWEBk,1.0,0.047540983606557376,0.9967213114754099
FXW6Wk5FeRU,0.6415094339622641,0.41105598866052445,0.5457122608079377
Kzxfiuzj1OY,0.946236559139785,0.124282982791587,0.9808795411089866
6nF0p7JYS98,0.9752066115702479,0.034653465346534656,0.9995874587458746
bq0Wta0gLKs,0.8965517241379309,0.35537190082644626,0.9383788254755997
krsZtJLkMTk,0.8947368421052632,0.26495726495726496,0.9821428571428571
OmExSv_BAfo,0.9811320754716981,0.05472636815920398,0.9944029850746269
NeiyRh1pxLc,0.923076923076923,0.028409090909090908,0.9964488636363636
x6XoHNIu3S0,0.9482758620689654,0.06611570247933884,0.9975206611570248
tQvywHPkYDQ,1.0,0.028056112224448898,0.9959919839679359
EoIP2c2E8aA,1.0,0.039660056657223795,0.9978753541076487
6kUJEi93_Ks,0.8771929824561403,0.2774725274725275,1.0
IAZF8p2XtDw,1.0,0.08521303258145363,0.9993734335839599
VE-TFKwgucY,0.9369369369369369,0.12277580071174377,0.9919928825622776
lh5kXxUDVA8,0.9249999999999999,0.16774193548387098,0.9967741935483871
Q21O71djGqs,0.967032967032967,0.09803921568627451,0.9852941176470589
XVVSxiaNPl4,0.9491525423728815,0.10795454545454546,0.9978693181818182
r4oYtwtUhiQ,0.9811320754716981,0.04225352112676056,0.9958920187793427
f2_UI_FD6CY,0.9193154034229828,0.132821075740944,0.9652854006586169
iuqF7Sqgo3o,0.9152542372881356,0.03361344537815126,0.9971988795518207
pK3f5hiXsKg,0.9523809523809523,0.051070840197693576,0.9975288303130149
ACdBApgntg8,0.9147286821705427,0.06754530477759473,0.9934102141680395
lFwJA3eAAlM,0.9629629629629629,0.15625,0.9950657894736842
hateyukZ8A8,0.9253731343283582,0.1400329489291598,0.9975288303130149
3K8ln-PsbE8,0.7341772151898734,0.6164565361645654,0.7673415200796548
mKUj7ksjZ_k,0.9504950495049505,0.1750465549348231,0.9972067039106145
HqNA5FDxPHs,0.9142857142857143,0.14634146341463414,0.9939024390243902
Y0iIdxLlkow,0.8960000000000001,0.1606837606837607,0.9525641025641025
KddnFzH-Te0,0.918918918918919,0.23887973640856672,0.9744645799011532
zj5DRNpeyCY,0.8333333333333333,0.6672158154859967,0.9221581548599671
a7Jhoz4_Xk4,0.9268292682926829,0.16433566433566432,0.9571678321678322
o6j4pbIE-No,1.0,0.03125,0.9957386363636364
