Rocket,476
Tornado,396
Graveyard,378
Tesla,353
Arrows,346
Mini P.E.K.K.A,313
X,312
The Log,283
Knight,259
Bats,238
Tombstone,230
Fireball,214
Lava Hound,211
Skeleton Army,202
Skeletons,177
Ice Wizard,177
Zap,175
Guards,154
Giant Snowball,145
Balloon,139
Musketeer,136
Mega Minion,131
Witch,91
Mirror,80
Giant,71
Goblin Drill,66
Executioner,35
Electro Dragon,16
P.E.K.K.A,10
Elite Barbarians,6
Minion Horde,6
Royal Recruits,3
Furnace,3
Barbarian Barrel,2
Miner,2
Skeleton Dragons,2
Golden Knight,2
Sparky,1
Battle Ram,1
Wizard,1
Barbarians,1
Ice Golem,1
Bandit,1
Mortar,1
Mega Knight,1
