Hunter,512
Fireball,470
Fisherman,333
Earthquake,277
Zappies,253
Knight,238
Musketeer,204
The Log,191
Tesla,189
Skeletons,182
Sparky,182
Skeleton Dragons,159
Cannon Cart,159
Barbarian Barrel,158
Giant Skeleton,154
Skeleton Army,150
X,134
Ice Spirit,99
Skeleton Barrel,93
Witch,90
Mirror,55
Goblin Barrel,55
Heal Spirit,53
Golden Knight,46
Executioner,31
Balloon,10
Mega Knight,5
Prince,3
Guards,3
Elite Barbarians,3
Goblin Drill,3
Monk,1
Three Musketeers,1
Miner,1
Night Witch,1
Cannon,1
Bomber,1
Barbarians,1
Barbarian Hut,1
Rage,1
Zap,1
