Fireball,374
Skeletons,340
Ice Golem,318
Witch,290
Inferno Tower,277
Tesla,267
Elixir Golem,259
Arrows,250
Valkyrie,232
The Log,227
Balloon,197
Electro Dragon,194
Inferno Dragon,184
Archers,181
Battle Healer,173
Musketeer,145
X,125
Miner,119
Rage,98
Ice Spirit,95
Heal Spirit,89
Giant Snowball,81
Night Witch,43
Executioner,11
Mortar,11
Tornado,11
Furnace,9
Archer Queen,6
Lava Hound,4
Skeleton Barrel,3
Elite Barbarians,3
Electro Spirit,2
Guards,2
Goblin Barrel,2
Mini P.E.K.K.A,2
P.E.K.K.A,2
Barbarian Hut,2
Rocket,2
Royal Hogs,2
Dark Prince,2
Battle Ram,1
Wizard,1
Three Musketeers,1
Hog Rider,1
Earthquake,1
Hunter,1
Mighty Miner,1
Fisherman,1
Mega Minion,1
Zap,1
