Tesla,775
Skeletons,523
X,508
The Log,467
Minion Horde,466
Zap,465
Fireball,451
Tornado,443
Knight,420
Skeleton Army,347
Sparky,294
Rocket,292
Arrows,282
Ice Wizard,277
Archers,275
Giant,205
Mega Minion,159
Goblin Barrel,153
Ice Spirit,145
Witch,118
Mirror,39
Graveyard,16
Goblin Drill,15
Executioner,9
Rascals,9
Prince,7
Mini P.E.K.K.A,7
Elite Barbarians,4
Miner,4
Hog Rider,4
Guards,4
Electro Giant,4
Fisherman,3
P.E.K.K.A,2
Balloon,2
Skeleton Barrel,2
Magic Archer,2
Barbarian Barrel,1
Bandit,1
Bomber,1
Lava Hound,1
Electro Spirit,1
Wall Breakers,1
Giant Snowball,1
Goblin Gang,1
Golden Knight,1
Skeleton Dragons,1
