folder,f1_score,mse,deckPercent
-IKfMPtPXL4,0.8541666666666667,0.15942028985507245,0.9987405541561712
-75E9JBc4ho,0.9122807017543859,0.3518225039619651,0.9950576606260296
-INo_UpYcLI,0.8983957219251336,0.25157232704402516,0.9971169686985173
-S93q2nWMWI,0.9541284403669724,0.1477832512315271,0.9778325123152709
-PlGj1L2lu0,0.9523809523809523,0.11270983213429256,0.9844124700239808
-RycfDYji88,0.8571428571428572,0.21606648199445982,0.9992897727272727
-OMmXwwQhlM,0.923076923076923,0.31809145129224653,0.9937238493723849
-QHf3EvqMD8,0.9548387096774192,0.37623762376237624,0.9910409556313993
-7h4uCWSSrY,0.864,0.39156626506024095,1.0
-KECD8BILjk,0.9137931034482758,0.16666666666666666,0.9880668257756563
