Knight,443
Tesla,405
Fireball,297
The Log,286
Archers,286
X,250
Skeletons,223
Ice Spirit,214
Goblin Drill,11
Zap,2
Miner,2
Tornado,1
Skeleton Barrel,1
Royal Ghost,1
Rocket,1
Arrows,1
