Fireball,676
Mega Knight,392
Musketeer,389
Knight,343
Ice Spirit,319
The Log,290
Rocket,282
X,215
Barbarian Barrel,210
Royal Hogs,204
Inferno Tower,196
Fisherman,176
Tesla,169
Goblin Barrel,162
Skeleton Dragons,160
Skeletons,155
Heal Spirit,126
Goblin Gang,86
Giant Snowball,53
Balloon,31
Princess,29
Giant,20
Wizard,16
Wall Breakers,10
Royal Delivery,10
Minion Horde,7
Goblin Hut,7
Mini P.E.K.K.A,5
Elite Barbarians,5
Mighty Miner,4
Skeleton Barrel,4
Executioner,4
Fire Spirit,3
Firecracker,3
Earthquake,2
Dart Goblin,2
Barbarians,2
Zap,2
Guards,2
Mirror,2
Mortar,2
Three Musketeers,2
Giant Skeleton,1
Goblin Drill,1
Inferno Dragon,1
Lumberjack,1
Prince,1
Royal Recruits,1
Barbarian Hut,1
Tornado,1
Bandit,1
Witch,1
Baby Dragon,1
