Rocket,452
Fireball,444
X,407
Skeleton Dragons,307
Mega Knight,291
Tornado,271
Royal Hogs,250
Ice Wizard,234
Musketeer,226
Fisherman,225
Tesla,208
Barbarian Barrel,200
The Log,175
Skeletons,164
Knight,146
Witch,105
Heal Spirit,96
Hunter,61
Mirror,48
Cannon Cart,32
Executioner,17
Rascals,11
Graveyard,10
Goblin Drill,8
Elite Barbarians,7
Golden Knight,6
Guards,4
Mini P.E.K.K.A,3
Electro Dragon,2
P.E.K.K.A,2
Goblin Barrel,2
Princess,2
Balloon,2
Minion Horde,2
Electro Giant,1
Bomber,1
Barbarians,1
Inferno Dragon,1
Electro Spirit,1
Hog Rider,1
Miner,1
Night Witch,1
Royal Recruits,1
Skeleton Barrel,1
Three Musketeers,1
Arrows,1
