Rocket,809
Fireball,375
Tornado,356
Ice Wizard,350
Hunter,296
The Log,287
Rascals,241
Knight,200
Tesla,195
Goblin Cage,193
Barbarian Barrel,187
Princess,182
Skeletons,175
X,153
Goblin Gang,148
Dart Goblin,141
Heal Spirit,141
Royal Hogs,140
Witch,138
Prince,134
Royal Recruits,90
Goblin Barrel,79
Magic Archer,71
Mirror,52
Executioner,27
Inferno Dragon,5
Bandit,4
Mini P.E.K.K.A,3
Guards,3
P.E.K.K.A,2
Electro Spirit,2
Balloon,2
Mighty Miner,2
Hog Rider,2
Giant Skeleton,2
Valkyrie,1
Sparky,1
Mega Knight,1
Elite Barbarians,1
Skeleton Barrel,1
Minion Horde,1
Golden Knight,1
Mega Minion,1
Arrows,1
